Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,1,Q,6,1.0324100143564618,3.0376261260010895,7.413680791854858
dense_structure,2,5,1,R,6,3.90241563748486,2.7921241991571133,7.413680791854858
dense_structure,2,5,1,S,6,1.5299138260298175,4.248825090288479,7.413680791854858
dense_structure,2,5,1,T,6,0.2281261700095494,0.1804654568904934,7.413680791854858
dense_structure,2,5,1,U,6,2.28694340952719,1.9318061223814906,7.413680791854858
dense_structure,2,5,2,A,6,0.028043174775013488,0.01805105869775439,11.289960622787476
dense_structure,2,5,2,D,6,0.7696253154883885,1.5018965635648605,11.289960622787476
dense_structure,2,5,2,E,6,1.8547287464518494,4.421683805061332,11.289960622787476
dense_structure,2,5,2,F,6,1.106550014784481,2.295797704982752,11.289960622787476
dense_structure,2,5,2,B,6,0.21273264474089004,0.544101300835441,11.289960622787476
dense_structure,2,5,2,G,6,0.11032175511306615,0.8529551136730269,11.289960622787476
dense_structure,2,5,2,H,6,0.0057203516196713535,0.040992641037732556,11.289960622787476
dense_structure,2,5,2,C,6,0.3379578370763788,0.2365387195237286,11.289960622787476
dense_structure,2,5,2,I,6,0.061994465181182595,0.06437714524267216,11.289960622787476
dense_structure,2,5,2,J,6,1.9230782773951651,3.364937698354662,11.289960622787476
dense_structure,2,5,2,K,6,1.7489097212354499,0.8611488511244387,11.289960622787476
dense_structure,2,5,2,L,6,1.0570696758246405,0.8467160993662008,11.289960622787476
dense_structure,2,5,2,M,6,0.6977458355923039,0.1940968637610998,11.289960622787476
dense_structure,2,5,2,N,6,2.762392721748681,3.5471212064693,11.289960622787476
dense_structure,2,5,2,O,6,0.8160917234404106,1.7706651697398386,11.289960622787476
dense_structure,2,5,2,P,6,3.8537186487882384,6.866646393519029,11.289960622787476
dense_structure,2,5,2,Q,6,2.728644052942361,1.537736641242295,11.289960622787476
dense_structure,2,5,2,R,6,0.020229203638613247,0.0006575911264936063,11.289960622787476
dense_structure,2,5,2,S,6,3.604183350187202,6.155843837993677,11.289960622787476
dense_structure,2,5,2,T,6,2.0197508289297903,0.03515083195829374,11.289960622787476
dense_structure,2,5,2,U,6,0.06721280025671214,0.11016693827253635,11.289960622787476
dense_structure,2,5,1,A,7,3.569041755451736,5.942504122763988,7.911759614944458
dense_structure,2,5,1,D,7,0.16998049583724129,0.13280205794109853,7.911759614944458
dense_structure,2,5,1,E,7,0.5679816021593816,0.4750728684561552,7.911759614944458
dense_structure,2,5,1,F,7,0.573386459639678,0.5704047726915686,7.911759614944458
dense_structure,2,5,1,B,7,0.16576364855664594,0.544101300835441,7.911759614944458
dense_structure,2,5,1,G,7,0.18323764985291563,0.8529551136730269,7.911759614944458
dense_structure,2,5,1,H,7,0.005368851221151952,0.040992641037732556,7.911759614944458
dense_structure,2,5,1,C,7,0.39239815159348007,0.48798081498398793,7.911759614944458
dense_structure,2,5,1,I,7,1.3128823994371255,3.084634598333076,7.911759614944458
dense_structure,2,5,1,J,7,3.565409288401737,1.8260632515986155,7.911759614944458
dense_structure,2,5,1,K,7,1.2505322553413365,1.6149870828486517,7.911759614944458
dense_structure,2,5,1,L,7,1.068591356781449,0.8467160993662008,7.911759614944458
dense_structure,2,5,1,M,7,0.7288452451695411,0.1940968637610998,7.911759614944458
dense_structure,2,5,1,N,7,2.185792501489499,2.670967496193905,7.911759614944458
dense_structure,2,5,1,O,7,0.8143836573716021,1.7706651697398386,7.911759614944458
dense_structure,2,5,1,P,7,2.904614268134053,7.346938576224092,7.911759614944458
dense_structure,2,5,1,Q,7,0.03496862318882158,0.052755006859964634,7.911759614944458
dense_structure,2,5,1,R,7,0.26101726286450055,0.26281556624063623,7.911759614944458
dense_structure,2,5,1,S,7,1.9441957592906394,1.3810840180303776,7.911759614944458
dense_structure,2,5,1,T,7,3.748560986348463,0.1804654568904934,7.911759614944458
dense_structure,2,5,1,U,7,1.9866203933444884,1.0197068144787627,7.911759614944458
dense_structure,2,5,2,A,7,0.24195607421655474,0.12253837056587932,9.503201723098755
dense_structure,2,5,2,D,7,1.5341256002927395,3.7255474360519196,9.503201723098755
dense_structure,2,5,2,E,7,1.4904682885813867,0.4722253640663164,9.503201723098755
dense_structure,2,5,2,F,7,0.38865537324171623,0.32764238533555506,9.503201723098755
dense_structure,2,5,2,B,7,0.2824866567964155,0.544101300835441,9.503201723098755
dense_structure,2,5,2,G,7,0.39087275453923725,0.23369501214534877,9.503201723098755
dense_structure,2,5,2,H,7,0.006024389090075105,0.040992641037732556,9.503201723098755
dense_structure,2,5,2,C,7,0.11836768241047604,0.3967071232026439,9.503201723098755
dense_structure,2,5,2,I,7,0.12957336248067736,0.205997055875826,9.503201723098755
dense_structure,2,5,2,J,7,0.9773010362863552,1.2244831913231131,9.503201723098755
dense_structure,2,5,2,K,7,1.5953615055149928,3.223438031381888,9.503201723098755
dense_structure,2,5,2,L,7,0.29661694176011977,1.0690600039938578,9.503201723098755
